FLUX   73    43.00        6.971919E+15   1.6032E-67   1.6033E-67   0.99998
FLUX   74    44.10        6.798016E+15   5.6236E-66   5.6237E-66   0.99998
FLUX   75    45.10        6.647284E+15   1.2232E-64   1.2233E-64   0.99998
FLUX   76    46.00        6.517228E+15   1.7398E-63   1.7399E-63   0.99998
FLUX   77    47.00        6.378564E+15   2.9431E-62   2.9431E-62   0.99998
FLUX   78    48.00        6.245677E+15   4.4107E-61   4.4108E-61   0.99998
FLUX   79    49.00        6.118214E+15   5.9063E-60   5.9064E-60   0.99998
FLUX   80    50.00        5.995850E+15   7.1046E-59   7.1047E-59   0.99998
FLUX   81    50.60        5.924753E+15   4.0765E-58   4.5913E-58   0.88788
FLUX   82    51.20        5.855322E+15   1.8553E-57   1.8714E-57   0.99138
FLUX   83    52.00        5.765240E+15   1.1486E-56   1.1570E-56   0.99278
FLUX   84    53.00        5.656462E+15   1.0416E-55   1.0416E-55   0.99998
FLUX   85    54.00        5.551713E+15   8.5854E-55   8.6250E-55   0.99541
FLUX   86    55.00        5.450773E+15   6.6026E-54   6.6027E-54   0.99998
FLUX   87    56.00        5.353437E+15   4.6898E-53   4.6899E-53   0.99998
FLUX   88    57.00        5.259517E+15   3.1032E-52   3.1033E-52   0.99998
FLUX   89    58.00        5.168836E+15   1.9018E-51   1.9206E-51   0.99019
FLUX   90    59.00        5.081229E+15   1.1147E-50   1.1148E-50   0.99986
FLUX   91    60.00        4.996542E+15   6.0906E-50   6.0913E-50   0.99989
FLUX   92    61.00        4.914631E+15   3.1421E-49   3.1421E-49   0.99998
FLUX   93    62.00        4.835363E+15   1.5344E-48   1.5345E-48   0.99992
FLUX   94    63.00        4.758611E+15   7.1136E-48   7.1141E-48   0.99993
FLUX   95    64.00        4.684258E+15   3.1402E-47   3.1402E-47   0.99998
FLUX   96    65.00        4.612192E+15   1.3222E-46   1.3222E-46   0.99998
FLUX   97    65.80        4.556117E+15   4.0421E-46   4.0422E-46   0.99998
FLUX   98    66.50        4.508158E+15   1.0499E-45   1.0504E-45   0.99960
FLUX   99    67.50        4.441370E+15   3.9646E-45   3.9658E-45   0.99971
FLUX  100    68.50        4.376533E+15   1.4383E-44   1.4383E-44   0.99998
FLUX  101    69.50        4.313561E+15   5.0192E-44   5.0193E-44   0.99998
FLUX  102    70.50        4.252376E+15   1.6860E-43   1.6883E-43   0.99866
FLUX  103    71.60        4.187046E+15   6.1557E-43   6.1558E-43   0.99998
FLUX  104    72.60        4.129373E+15   1.9260E-42   1.9261E-42   0.99998
